City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
30,qaanaaq,77.484,-69.3632,-32.29,83,9,2.8,GL,1669905982
31,mattru,7.6244,-11.8332,31.53,54,93,2.23,SL,1669905982
32,east london,-33.0153,27.9116,23.52,78,0,5.14,ZA,1669905721
33,taltal,-25.4,-70.4833,19.61,73,9,3.51,CL,1669905970
34,victoria,22.2855,114.1577,16.81,75,86,6.71,HK,1669905748
35,mataura,-46.1927,168.8643,10.27,92,77,2.53,NZ,1669905984
36,hilo,19.7297,-155.09,27.38,89,100,2.06,US,1669905871
37,ungaran,-7.1397,110.405,25.81,78,40,1.03,ID,1669905986
38,barrow,71.2906,-156.7887,-6.99,86,100,2.57,US,1669905797
39,shimoda,34.6667,138.95,10.06,80,98,2.6,JP,1669905988
40,lorengau,-2.0226,147.2712,27.11,78,97,2.37,PG,1669905988
41,puerto ayora,-0.7393,-90.3518,22.98,86,85,5.36,EC,1669905989
42,ilulissat,69.2167,-51.1,-6.99,68,75,9.77,GL,1669905990
43,bredasdorp,-34.5322,20.0403,24.29,52,44,8.05,ZA,1669905991
44,chicama,-7.8447,-79.1469,17.3,61,32,2.74,PE,1669905992
45,boa vista,2.8197,-60.6733,28.99,54,20,8.23,BR,1669905993
46,tuatapere,-46.1333,167.6833,7.28,78,94,4.41,NZ,1669905994
47,martapura,-3.4167,114.85,25.05,94,40,1.54,ID,1669905994
48,grindavik,63.8424,-22.4338,4.97,93,75,13.38,IS,1669905995
49,hithadhoo,-0.6,73.0833,27.61,64,60,2.29,MV,1669905996
50,arraial do cabo,-22.9661,-42.0278,25.98,83,40,10.8,BR,1669905996
51,rawson,-43.3002,-65.1023,25.44,20,0,6.95,AR,1669905772
52,port elizabeth,-33.918,25.5701,25.05,73,40,6.69,ZA,1669905997
53,xam nua,20.4197,104.0439,16.24,98,100,1.16,LA,1669905997
54,castro,-24.7911,-50.0119,24.77,63,12,3.8,BR,1669905998
55,bandarbeyla,9.4942,50.8122,26.22,81,63,8.95,SO,1669905999
56,moranbah,-22.0016,148.0466,17.34,81,0,4.08,AU,1669906000
57,san ignacio,17.1561,-89.0714,23.08,94,75,0.0,BZ,1669906000
58,charters towers,-20.1,146.2667,20.69,75,96,4.47,AU,1669906001
59,kodiak,57.79,-152.4072,3.73,60,0,17.49,US,1669906002
60,tuktoyaktuk,69.4541,-133.0374,-25.0,77,0,2.57,CA,1669906002
61,verdun,49.25,5.3333,5.78,86,96,4.06,FR,1669905706
62,zanjan,36.6736,48.4787,5.83,100,100,0.0,IR,1669906003
63,cerrito,6.8432,-72.694,16.48,61,34,1.52,CO,1669906004
64,vao,-22.6667,167.4833,25.69,87,100,6.48,NC,1669906004
65,malkangiri,18.35,81.9,22.12,62,2,0.4,IN,1669906005
